Date,Close
10/2/1985,0.049838203
10/3/1985,0.049878682
10/4/1985,0.04916336
10/7/1985,0.047488478
10/8/1985,0.046575582
10/9/1985,0.047853405
10/10/1985,0.048562639
10/11/1985,0.049995982
10/14/1985,0.05191838
10/15/1985,0.052097274
10/16/1985,0.052956529
10/17/1985,0.053350289
10/18/1985,0.052959719
10/21/1985,0.052366748
10/22/1985,0.053066938
10/23/1985,0.053646575
10/24/1985,0.054038206
10/25/1985,0.052564249
10/28/1985,0.052481183
10/29/1985,0.053938227
10/30/1985,0.0542841
10/31/1985,0.054012146
11/1/1985,0.054755818
11/4/1985,0.054534486
11/5/1985,0.054910457
11/6/1985,0.055797018
11/7/1985,0.056025193
11/8/1985,0.057587534
11/11/1985,0.058688486
11/12/1985,0.060072831
11/13/1985,0.059426834
11/14/1985,0.060084051
11/15/1985,0.060419404
11/18/1985,0.060201809
11/19/1985,0.060808983
11/20/1985,0.060441854
11/21/1985,0.06183667
11/22/1985,0.062196855
11/25/1985,0.061359002
11/26/1985,0.062171237
11/27/1985,0.063997
11/29/1985,0.064292129
12/2/1985,0.063399608
12/3/1985,0.063445193
12/4/1985,0.066191123
12/5/1985,0.066729183
12/6/1985,0.065165619
12/9/1985,0.065709712
12/10/1985,0.066214832
12/11/1985,0.067461771
12/12/1985,0.068072787
12/13/1985,0.07054883
12/16/1985,0.071066768
12/17/1985,0.069914569
12/18/1985,0.069494656
12/19/1985,0.070326646
12/20/1985,0.070683801
12/23/1985,0.069043111
12/24/1985,0.068308968
12/26/1985,0.068639929
12/27/1985,0.069840582
12/30/1985,0.070329262
12/31/1985,0.070702366
1/2/1986,0.06959076
1/3/1986,0.068843183
1/6/1986,0.068637516
1/7/1986,0.071201778
1/8/1986,0.069453783
1/9/1986,0.066954377
1/10/1986,0.06774972
1/13/1986,0.067258191
1/14/1986,0.067346752
1/15/1986,0.069802277
1/16/1986,0.071420828
1/17/1986,0.071109516
1/20/1986,0.069861596
1/21/1986,0.069314828
1/22/1986,0.067755003
1/23/1986,0.067394311
1/24/1986,0.068364006
1/27/1986,0.068988839
1/28/1986,0.07024947
1/29/1986,0.071388442
1/30/1986,0.070454914
1/31/1986,0.071238398
2/3/1986,0.072647894
2/4/1986,0.073037545
2/5/1986,0.074247591
2/6/1986,0.075259701
2/7/1986,0.076118929
2/10/1986,0.076899951
2/11/1986,0.077050266
2/12/1986,0.077501665
2/13/1986,0.078060578
2/14/1986,0.079176823
2/18/1986,0.079826458
2/19/1986,0.078584263
2/20/1986,0.078927558
2/21/1986,0.08028113
2/24/1986,0.079206119
2/25/1986,0.078302194
2/26/1986,0.077712407
2/27/1986,0.079559031
2/28/1986,0.079445811
3/3/1986,0.078670732
3/4/1986,0.079577121
3/5/1986,0.079237395
3/6/1986,0.079864546
3/7/1986,0.079762451
3/10/1986,0.081718097
3/11/1986,0.085057163
3/12/1986,0.086549438
3/13/1986,0.08700987
3/14/1986,0.086998039
3/17/1986,0.086246429
3/18/1986,0.087731348
3/19/1986,0.087553069
3/20/1986,0.087938958
3/21/1986,0.088182905
3/24/1986,0.087092561
3/25/1986,0.087560329
3/26/1986,0.087287237
3/27/1986,0.088615019
3/31/1986,0.08919434
4/1/1986,0.088703005
4/2/1986,0.089264683
4/3/1986,0.08901294
4/4/1986,0.087007736
4/7/1986,0.085847896
4/8/1986,0.089227619
4/9/1986,0.0893774
4/10/1986,0.092627385
4/11/1986,0.09372598
4/14/1986,0.095273102
4/15/1986,0.096504822
4/16/1986,0.101457149
4/17/1986,0.10166146
4/18/1986,0.09987822
4/21/1986,0.100974169
4/22/1986,0.10012702
4/23/1986,0.099619606
4/24/1986,0.102650063
4/25/1986,0.103427072
4/28/1986,0.102705141
4/29/1986,0.100585531
4/30/1986,0.096339651
5/1/1986,0.095462759
5/2/1986,0.096459443
5/5/1986,0.099110356
5/6/1986,0.099091436
5/7/1986,0.097994105
5/8/1986,0.099129231
5/9/1986,0.100081655
5/12/1986,0.09987252
5/13/1986,0.098986175
5/14/1986,0.098929452
5/15/1986,0.097366787
5/16/1986,0.096404147
5/19/1986,0.096796
5/20/1986,0.098915025
5/21/1986,0.099456827
5/22/1986,0.102223732
5/23/1986,0.102908922
5/27/1986,0.104206822
5/28/1986,0.10437491
5/29/1986,0.104782564
5/30/1986,0.106779422
6/2/1986,0.105300368
6/3/1986,0.105404351
6/4/1986,0.105033731
6/5/1986,0.105728227
6/6/1986,0.105109583
6/9/1986,0.100856771
6/10/1986,0.100214526
6/11/1986,0.10266119
6/12/1986,0.103084576
6/13/1986,0.105642957
6/16/1986,0.103619316
6/17/1986,0.100751734
6/18/1986,0.100631015
6/19/1986,0.101646981
6/20/1986,0.102036272
6/23/1986,0.101997891
6/24/1986,0.103589673
6/25/1986,0.105135784
6/26/1986,0.104772353
6/27/1986,0.104636307
6/30/1986,0.10593119
