Date,Open,High,Low,Close,Adj Close,Volume
2010-02-11,3.309167,3.309167,3.307917,3.308333,3.167181,64800
2010-02-12,3.296250,3.300417,3.263750,3.296667,3.156013,139200
2010-02-16,3.465417,3.518333,3.447083,3.518333,3.368221,100800
2010-02-17,3.583750,3.601667,3.572917,3.594167,3.440819,415200
2010-02-18,3.608750,3.698750,3.604583,3.687083,3.529771,324000
2010-02-19,3.665000,3.735000,3.640000,3.700000,3.542137,652800
2010-02-22,3.737083,3.737083,3.672083,3.677083,3.520198,547200
2010-02-23,3.658750,3.704167,3.573750,3.589583,3.436432,321600
2010-02-24,3.622917,3.683333,3.600417,3.672500,3.515810,451200
2010-02-25,3.512917,3.622083,3.475417,3.613333,3.459168,993600
2010-02-26,3.627917,3.647083,3.568333,3.630833,3.475921,849600
2010-03-01,3.660833,3.713333,3.650833,3.699167,3.541340,537600
2010-03-02,3.740833,3.757917,3.694583,3.698750,3.540940,441600
2010-03-03,3.723333,3.774583,3.685000,3.694167,3.536553,568800
2010-03-04,3.725833,3.751667,3.712917,3.751667,3.591600,494400
2010-03-05,3.810833,3.880000,3.790417,3.880000,3.714457,309600
2010-03-08,3.879167,3.896250,3.857083,3.863333,3.698501,307200
2010-03-09,3.878333,3.931250,3.857917,3.878333,3.712862,403200
2010-03-10,3.897083,3.920417,3.858333,3.885417,3.719643,525600
2010-03-11,3.870000,3.936667,3.831250,3.936667,3.768706,232800
2010-03-12,3.980833,3.980833,3.932083,3.949167,3.780673,261600
2010-03-15,3.942083,3.971250,3.909583,3.971250,3.801815,124800
2010-03-16,3.995417,4.032500,3.954167,4.029583,3.857658,192000
2010-03-17,4.055417,4.110000,4.055417,4.065833,3.892361,170400
2010-03-18,4.087917,4.133333,4.080000,4.127500,3.951399,242400
2010-03-19,4.079583,4.169167,4.037917,4.079583,3.905524,482400
2010-03-22,4.035000,4.159583,4.035000,4.132500,3.956184,576000
2010-03-23,4.156250,4.256250,4.141667,4.251667,4.070267,249600
2010-03-24,4.218333,4.239583,4.183333,4.195833,4.017801,213600
2010-03-25,4.265833,4.323333,4.189583,4.198750,4.020592,244800
2010-03-26,4.224583,4.271250,4.178333,4.210417,4.031766,204000
2010-03-29,4.246667,4.272917,4.244167,4.258750,4.078046,362400
2010-03-30,4.288750,4.312500,4.236667,4.279167,4.097599,242400
2010-03-31,4.246667,4.265417,4.190000,4.217917,4.038947,278400
2010-04-01,4.303333,4.327083,4.235000,4.300000,4.117548,199200
2010-04-05,4.338333,4.363333,4.300000,4.353333,4.168618,295200
2010-04-06,4.324167,4.368333,4.311250,4.346250,4.161834,297600
2010-04-07,4.316667,4.341667,4.216250,4.273750,4.092409,854400
2010-04-08,4.230417,4.329583,4.210000,4.305833,4.123132,249600
2010-04-09,4.330833,4.388750,4.315000,4.387500,4.201334,360000
2010-04-12,4.402500,4.417500,4.387083,4.402083,4.215298,127200
2010-04-13,4.394583,4.432083,4.357083,4.415833,4.228465,360000
2010-04-14,4.456250,4.539583,4.441250,4.535833,4.343373,482400
2010-04-15,4.517917,4.566250,4.507500,4.566250,4.372500,290400
2010-04-16,4.546250,4.576250,4.360833,4.417083,4.229661,895200
2010-04-19,4.373333,4.500833,4.372500,4.493333,4.302677,451200
2010-04-20,4.537083,4.545417,4.489583,4.521250,4.329409,355200
2010-04-21,4.531667,4.566667,4.485417,4.531667,4.339383,309600
2010-04-22,4.462500,4.563750,4.415833,4.563750,4.370107,360000
2010-04-23,4.543333,4.634583,4.525833,4.632917,4.436337,1408800
2010-04-26,4.647083,4.685833,4.637083,4.638333,4.441523,352800
2010-04-27,4.600833,4.652500,4.357083,4.376250,4.190560,1473600
2010-04-28,4.430833,4.473750,4.346667,4.440417,4.252007,928800
2010-04-29,4.494167,4.618333,4.494167,4.583333,4.388858,537600
2010-04-30,4.600000,4.614583,4.390000,4.391250,4.204925,770400
2010-05-03,4.453750,4.590833,4.453750,4.557917,4.364520,912000
2010-05-04,4.436667,4.436667,4.228333,4.290833,4.108770,1396800
2010-05-05,4.191250,4.309583,4.166667,4.220417,4.041340,943200
2010-05-06,4.199167,4.237917,3.114167,3.813333,3.651530,3813600
2010-05-07,3.790833,3.883333,3.541667,3.681667,3.525450,1704000
2010-05-10,4.063333,4.145833,4.006667,4.105000,3.930821,1596000
2010-05-11,3.999167,4.196250,3.990000,4.064583,3.892119,900000
2010-05-12,4.108333,4.249167,4.100417,4.243333,4.063286,698400
2010-05-13,4.207500,4.263333,4.099583,4.100000,3.926032,969600
2010-05-14,4.027500,4.052083,3.830417,3.921250,3.754867,943200
2010-05-17,3.942917,3.965833,3.728333,3.928750,3.762049,1178400
2010-05-18,4.015000,4.022083,3.774583,3.802083,3.640757,868800
2010-05-19,3.753333,3.817500,3.612083,3.733333,3.574925,1255200
2010-05-20,3.535417,3.560000,3.326667,3.327500,3.186311,5292000
2010-05-21,3.198333,3.462083,3.174583,3.457917,3.311194,3168000
2010-05-24,3.404167,3.436667,3.317083,3.324167,3.183120,1267200
2010-05-25,3.113750,3.313750,3.041667,3.304583,3.164366,3115200
2010-05-26,3.356667,3.430833,3.220833,3.242500,3.104917,1869600
2010-05-27,3.402083,3.524167,3.373333,3.524167,3.374633,1159200
2010-05-28,3.513333,3.513333,3.354167,3.390833,3.246957,3014400
2010-06-01,3.314167,3.471250,3.280417,3.280417,3.141226,996000
2010-06-02,3.335417,3.505833,3.307917,3.505000,3.356280,652800
2010-06-03,3.547917,3.569583,3.429583,3.509167,3.360270,1430400
2010-06-04,3.335833,3.357917,3.137083,3.172083,3.037489,2164800
2010-06-07,3.208333,3.218750,3.063333,3.066250,2.936146,1744800
2010-06-08,3.076667,3.194583,3.013333,3.186250,3.051054,1603200
2010-06-09,3.227083,3.303333,3.125833,3.147083,3.013549,1692000
2010-06-10,3.292500,3.416667,3.291667,3.401667,3.257331,1504800
2010-06-11,3.322083,3.454167,3.322083,3.444583,3.298426,1754400
2010-06-14,3.526250,3.568333,3.424167,3.424167,3.278877,1226400
2010-06-15,3.503750,3.647500,3.485417,3.635417,3.481163,818400
2010-06-16,3.585417,3.666667,3.573333,3.652500,3.497520,528000
2010-06-17,3.680000,3.681667,3.553750,3.677917,3.521860,1548000
2010-06-18,3.694583,3.720417,3.677500,3.692917,3.536223,499200
2010-06-21,3.826667,3.845833,3.645833,3.681250,3.525052,1560000
2010-06-22,3.687500,3.730000,3.514583,3.523333,3.379227,1828800
2010-06-23,3.529583,3.593750,3.455000,3.528750,3.384423,1740000
2010-06-24,3.472917,3.487500,3.356250,3.378750,3.240559,1593600
2010-06-25,3.399167,3.421667,3.310417,3.395000,3.256144,1612800
2010-06-28,3.389583,3.425000,3.332917,3.365417,3.227770,1586400
2010-06-29,3.244583,3.244583,3.040417,3.099167,2.972410,2164800
2010-06-30,3.077917,3.130833,2.991667,3.005833,2.882894,3184800
2010-07-01,3.004583,3.025000,2.867917,2.962917,2.841733,1478400
2010-07-02,2.985417,3.001250,2.864583,2.926667,2.806965,2270400
2010-07-06,3.025000,3.078750,2.902917,2.975000,2.853321,1996800
2010-07-07,2.983333,3.240833,2.980417,3.231250,3.099091,2524800
2010-07-08,3.298750,3.351667,3.248333,3.348750,3.211785,1785600
2010-07-09,3.347083,3.413333,3.332083,3.410000,3.270530,1370400
2010-07-12,3.384167,3.429583,3.362500,3.426667,3.286515,840000
2010-07-13,3.520833,3.619167,3.520833,3.570833,3.424784,1406400
2010-07-14,3.556667,3.611667,3.514167,3.577083,3.430779,1968000
2010-07-15,3.571667,3.587500,3.447917,3.556250,3.410798,1437600
2010-07-16,3.507500,3.518750,3.290417,3.299583,3.164629,2042400
2010-07-19,3.345417,3.389167,3.278750,3.357917,3.220578,2011200
2010-07-20,3.208750,3.439583,3.205417,3.430833,3.290512,5748000
2010-07-21,3.467500,3.469583,3.278750,3.325833,3.189806,3136800
2010-07-22,3.423750,3.565417,3.422917,3.521250,3.377230,3091200
2010-07-23,3.507500,3.643750,3.490833,3.624167,3.475937,2546400
2010-07-26,3.635000,3.735417,3.620417,3.730417,3.577842,2532000
2010-07-27,3.788750,3.788750,3.701667,3.747500,3.594226,2510400
2010-07-28,3.743333,3.757917,3.670000,3.707500,3.555862,2193600
2010-07-29,3.768750,3.798333,3.587917,3.671250,3.521095,2428800
2010-07-30,3.578750,3.708333,3.500417,3.671250,3.521095,2455200
2010-08-02,3.816250,3.904583,3.793333,3.885833,3.726902,1416000
2010-08-03,3.857083,3.885833,3.773750,3.846250,3.688937,585600
2010-08-04,3.874583,3.926250,3.844583,3.903750,3.744086,1610400
2010-08-05,3.829583,3.895417,3.829167,3.890417,3.731297,1216800
2010-08-06,3.786250,3.878333,3.724583,3.876250,3.717711,1845600
2010-08-09,3.912083,3.950000,3.870417,3.923333,3.762868,1915200
2010-08-10,3.835833,3.927500,3.769167,3.867083,3.708919,1831200
2010-08-11,3.710000,3.713333,3.573750,3.594583,3.447563,986400
2010-08-12,3.457500,3.566667,3.457500,3.522500,3.378428,1723200
2010-08-13,3.511250,3.555833,3.500000,3.510417,3.366840,1521600
2010-08-16,3.457500,3.528750,3.418750,3.504167,3.360846,1113600
2010-08-17,3.578750,3.691667,3.550417,3.616667,3.468744,991200
2010-08-18,3.607083,3.689583,3.547500,3.644167,3.495119,1413600
2010-08-19,3.594167,3.610417,3.430000,3.484583,3.342063,4593600
2010-08-20,3.452500,3.455000,3.357083,3.430833,3.290512,1185600
2010-08-23,3.462500,3.512083,3.383333,3.387500,3.248950,1495200
2010-08-24,3.285833,3.325000,3.207500,3.249167,3.116275,1627200
2010-08-25,3.212500,3.302500,3.155000,3.274583,3.140652,1675200
2010-08-26,3.305000,3.308333,3.186250,3.197917,3.067121,1658400
2010-08-27,3.264583,3.366667,3.155833,3.362917,3.225373,2457600
2010-08-30,3.325833,3.357083,3.223750,3.223750,3.091898,1164000
2010-08-31,3.197500,3.287083,3.164583,3.225000,3.093096,1104000
2010-09-01,3.336250,3.483750,3.333333,3.477083,3.334869,3031200
2010-09-02,3.493750,3.524583,3.458750,3.522083,3.378028,1663200
2010-09-03,3.624583,3.661250,3.574167,3.655833,3.506308,1987200
2010-09-07,3.614583,3.620417,3.537500,3.550000,3.404804,1056000
2010-09-08,3.564167,3.635417,3.564167,3.591667,3.444767,1221600
2010-09-09,3.702083,3.702083,3.597500,3.624583,3.476337,1521600
2010-09-10,3.649583,3.677083,3.622917,3.672083,3.521894,1094400
2010-09-13,3.770417,3.790833,3.710417,3.765417,3.611410,1790400
2010-09-14,3.750417,3.812083,3.718333,3.757083,3.603417,1478400
2010-09-15,3.718750,3.808333,3.704583,3.795417,3.640184,772800
2010-09-16,3.765000,3.828750,3.750417,3.822917,3.666559,1639200
2010-09-17,3.867083,3.875833,3.792083,3.832917,3.676149,775200
2010-09-20,3.870833,4.012083,3.850833,3.987500,3.824410,1269600
2010-09-21,3.990417,4.071250,3.948333,3.999583,3.840052,1442400
2010-09-22,4.000417,4.041667,3.940000,3.971667,3.813249,1963200
